"key","message","comment","context"
"Custom ({0})","Personalitzat ({0})",,
"Customize...","Personalitzar...",,
"DMS.Home","DMS.Inici",,
"Day","Dia",,
"Days","Dies",,
"Delete","Eliminar",,
"Delete...","Eliminar...",,
"Delete.Key","Supr.Tecla",,
"Details","Detalls",,
"Details...","Detalls...",,
"Directory","Directori",,
"Display process","Mostrar procés",,
"Do you really want to archive the selected record(s)?","Vols arxivar el(s) registre(s) seleccionat(s)?",,
"Do you really want to archive the selected record?","Vols arxivar el registre seleccionat?",,
"Do you really want to delete the selected record(s)?","Vols eliminar el(s) registre(s) seleccionat(s)?",,
"Do you really want to delete the selected record?","Vols eliminar el registre seleccionat?",,
"Do you really want to delete the selected task?","Vols eliminar la tasca seleccionada?",,
"Do you really want to unarchive the selected record(s)?","Vols desarxivar el(s) registre(s) seleccionat(s)?",,
"Do you really want to unarchive the selected record?","Vols desarxivar el registre seleccionat?",,
"Do you really want to update all {0} record(s)?","Vols actualitzar tots els {0} registres?",,
"Document","Document",,
"Documentation","Documentació",,
"Domain","Domini",,
"Download","Descarregar",,
"Downloading file…","Descarregant fitxer…",,
"Downloading {0}…","Descarregant {0}…",,
"Drop here","Deixa ací",,
"Drop your files to start upload.","Deixa els teus fitxers per començar la pujada.",,
"Duplicate","Duplicar",,
"Edit","Editar",,
"Either select or create a record.","Selecciona o crea un registre.",,
"Email","Correu electrònic",,
"Email address","Adreça electrònica",,
"Enum type","Tipus d'enumeració",,
"Environment","Entorn",,
"Error","Error",,
"Error code :","Codi d'error:",,
"Expand All","Desplegar tot",,
"Export","Exportar",,
"Export full","Exportar complet",,
"Failed","Ha fallat",,
"Failed to parse the given JSON theme : incorrect syntax was encountered.","No s'ha pogut analitzar el tema JSON: sintaxi incorrecta.",,
"False","Fals",,
"Favorite","Preferit",,
"Field name","Nom del camp",,
"Field type","Tipus de camp",,
"File","Fitxer",,
"File does not exist.","El fitxer no existeix.",,
"File upload","Pujada de fitxer",,
"File {0} does not exist.","El fitxer {0} no existeix.",,
"Filter","Filtre",,
"Filters","Filtres",,
"Filters ({0})","Filtres ({0})",,
"Fixed line","Línia fixa",,
"Fixed line or mobile","Línia fixa o mòbil",,
"Folder","Carpeta",,
"Followers","Seguïdors",,
"Font","Font",,
"Font color","Color de la font",,
"Font size","Mida de la font",,
"Forgot password?","Has oblidat la contrasenya?",,
"Formatted","Formatat",,
"Free Memory","Memòria lliure",,
"Go","Anar",,
"Go back to sign in page","Tornar a la pàgina d'entrada",,
"Grid requires at least one field.","La graella requereix almenys un camp.",,
"Group by","Agrupar per",,
"Grouped","Agrupat",,
"Groups","Grups",,
"Header 1","Capçalera 1",,
"Header 2","Capçalera 2",,
"Header 3","Capçalera 3",,
"Header 4","Capçalera 4",,
"Header 5","Capçalera 5",,
"Header 6","Capçalera 6",,
"Hide","Amagar",,
"Hide legend","Amagar llegenda",,
"Hide password","Amagar contrasenya",,
"Home page","Pàgina d'inici",,
"If an account exists with this email address, you will receive a password reset link.","Si existeix un compte amb aquest correu, rebràs un enllaç per restablir la contrasenya.",,
"Indent","Sagnar",,
"Information","Informació",,
"Insert image","Inserir imatge",,
"Insert link","Inserir enllaç",,
"Insert.Key","Inserir.Tecla",,
"Internal Server Error","Error intern del servidor",,
"Invalid request","Petició no vàlida",,
"Invalid use of ""{0}"" action, must be the last action.","Ús no vàlid de ""{0}"", ha de ser l'última acció.",,
"Italic (Ctrl+I)","Cursiva (Ctrl+I)",,
"Java Runtime","Entorn Java",,
"Java Version","Versió de Java",,
"Justify","Justificar",,
"Keyboard Shortcuts","Dreceres de teclat",,
"Language","Idioma",,
"Large","Gran",,
"Larger","Més gran",,
"Last access time","Darrera vegada d'accés",,
"Last modified...","Darrera modificació...",,
"License","Llicència",,
"Load more","Carregar més",,
"Loading...","Carregant...",,
"Log in time","Hora d'entrada",,
"Log out","Tancar sessió",,
"Maintenance","Manteniment",,
"Mark as important","Marcar com important",,
"Mark as not important","Marcar com no important",,
"Mark as read","Marcar com llegit",,
"Mark as unread","Marcar com no llegit",,
"Mass Update","Actualització massiva",,
"Max","Màxim",,
"Max Memory","Memòria màxima",,
"Medium","Mitjà",,
"Memory","Memòria",,
"Messages","Missatges",,
"Min","Mínim",,
"Mobile","Mòbil",,
"Model...","Model...",,
"Modified","Modificat",,
"Month","Mes",,
"Months","Mesos",,
"More","Més",,
"More details...","Més detalls...",,
"Move to archive","Moure a l'arxiu",,
"Move to inbox","Moure a la safata d'entrada",,
"My Filters","Els meus filtres",,
"Name","Nom",,
"New","Nou",,
"New Document","Document nou",,
"New Folder","Carpeta nova",,
"New Spreadsheet","Full de càlcul nou",,
"New password","Nova contrasenya",,
"New password must be different.","La nova contrasenya ha de ser diferent.",,
"No","No",,
"No filters available","No hi ha filtres disponibles",,
"No records found.","No s'han trobat registres.",,
"No results found","No s'han trobat resultats",,
"None","Cap",,
"Normal","Normal",,
"Normalize","Normalitzar",,
"Not available","No disponible",,
"Notifications","Notificacions",,
"Now","Ara",,
"OK","D'acord",,
"Object","Objecte",,
"Open URL","Obrir URL",,
"Operating System","Sistema operatiu",,
"Opps!","Ui!",,
"Ordered list","Llista ordenada",,
"Organize favorites...","Organitzar preferits...",,
"Orig. value","Valor original",,
"Outdent","Treure sagnat",,
"Owner","Propietari",,
"Page not found","Pàgina no trobada",,
"Page size limited to {0} records","Mida de pàgina limitada a {0} registres",,
"PageDown.Key","AvPàg.Tecla",,
"PageUp.Key","RePàg.Tecla",,
"Pager","Paginador",,
"Parent","Pare",,
"Password","Contrasenya",,
"Passwords do not match.","Les contrasenyes no coincideixen.",,
"Pending","Pendent",,
"Permissions {0}","Permisos {0}",,
"Permissions...","Permisos...",,
"Personal number","Número personal",,
"Please check back later. Thank you for your patience.","Torna a provar més tard. Gràcies per la paciència.",,
"Please contact your administrator if the problem persists.","Contacta amb l'administrador si el problema continua.",,
"Please select at least one record.","Selecciona almenys un registre.",,
"Please wait...","Espera...",,
"Post","Publicar",,
"Preferences","Preferències",,
"Premium rate","Tarifa premium",,
"Quarter","Trimestre",,
"Quarters","Trimestres",,
"Question","Pregunta",,
"Recipients","Destinataris",,
"Reconnecting…","Reconnectant…",,
"Reference","Referència",,
"Refresh","Actualitzar",,
"Refreshed at","Actualitzat a",,
"Reload","Recarregar",,
"Remove","Eliminar",,
"Remove color","Treure color",,
"Remove format","Treure format",,
"Rename...","Reanomenar...",,
"Report attached to current object. Would you like to download?","Informe adjunt a l'objecte actual. Vols descarregar-lo?",,
"Reset","Reiniciar",,
"Reset password","Restablir contrasenya",,
"Reset your password","Restableix la contrasenya",,
"Retry","Tornar a intentar",,
"Save","Guardar",,
"Save as","Guardar com",,
"Save column widths","Guardar amplades de columnes",,
"Save filter as","Guardar filtre com",,
"Search","Cercar",,
"Search Objects","Cercar objectes",,
"Search in filters...","Cercar en filtres...",,
"Search menu...","Cercar menú...",,
"Search more...","Cercar més...",,
"Search...","Cercar...",,
"Select","Seleccionar",,
"Selection","Selecció",,
"Send","Enviar",,
"Service disabled","Servei deshabilitat",,
"Share","Compartir",,
"Shared cost","Cost compartit",,
"Shortcuts","Dreceres",,
"Show","Mostrar",,
"Show archived","Mostrar arxivats",,
"Show help","Mostrar ajuda",,
"Show json content","Mostrar contingut json",,
"Show legend","Mostrar llegenda",,
"Show password","Mostrar contrasenya",,
"Showing all items.","Mostrant tots els elements.",,
"Showing {0} of {1} items.","Mostrant {0} de {1} elements.",,
"Sign in","Entrar",,
"Site under maintenance","Lloc en manteniment",,
"Small","Xicotet",,
"Smaller","Més xicotet",,
"Some files can't be downloaded. Please check them and retry.","Alguns fitxers no es poden descarregar. Comprova'ls i torna a intentar-ho.",,
"Sorry, something went wrong. Please try again later.","Ho sentim, alguna cosa ha fallat. Torna a intentar-ho més tard.",,
"Sort Ascending","Ordenar ascendentment",,
"Sort Descending","Ordenar descendentment",,
"Spreadsheet","Full de càlcul",,
"Stacked","Apilat",,
"Strikethrough (Ctrl+S)","Ratllat (Ctrl+S)",,
"Style","Estil",,
"Subject","Assumpte",,
"Sum","Suma",,
"System Information","Informació del sistema",,
"Tasks due","Tasques pendents",,
"Tasks todo","Tasques per fer",,
"Tenant","Llogater",,
"The audit log related to update and creation isn't available for the record.","El registre d'auditoria no està disponible per a aquest registre.",,
"The record has been updated or deleted by another action.","El registre ha estat modificat o eliminat per una altra acció.",,
"There are no records to update.","No hi ha registres per actualitzar.",,
"This page is automatically reloaded every 30 seconds.","Aquesta pàgina es recarrega cada 30 segons.",,
"Title","Títol",,
"Today","Hui",,
"Toggle","Alternar",,
"Toll free","Gratuït",,
"Tomorrow","Demà",,
"Total Memory","Memòria total",,
"Translate","Traduir",,
"Translation","Traducció",,
"True","Cert",,
"Try to refresh this page or contact your support service if the problem persists.","Prova a actualitzar la pàgina o contacta amb el suport si el problema continua.",,
"Type","Tipus",,
"UAN","UAN",,
"Unarchive","Desarxivar",,
"Underline (Ctrl+U)","Subratllat (Ctrl+U)",,
"Unexpected error occurred","S'ha produït un error inesperat",,
"Ungroup","Desagrupar",,
"Unknown","Desconegut",,
"Unordered list","Llista desordenada",,
"Update","Actualitzar",,
"Update all","Actualitzar tot",,
"Updated By","Actualitzat per",,
"Updated On","Actualitzat el",,
"Upload","Pujar",,
"Upload complete","Pujada completada",,
"Uploading files...","Pujant fitxers...",,
"Used Memory","Memòria usada",,
"User","Usuari",,
"Username","Nom d'usuari",,
"Validate","Validar",,
"Value","Valor",,
"Version","Versió",,
"View","Veure",,
"View...","Veure...",,
"VoIP","VoIP",,
"Voicemail","Bústia de veu",,
"Warning","Avís",,
"Week","Setmana",,
"Weeks","Setmanes",,
"Would you like to reload the current record?","Vols recarregar el registre actual?",,
"Would you like to reload the record?","Vols recarregar el registre?",,
"Would you like to remove the filter?","Vols eliminar el filtre?",,
"Write an email","Escriure un correu",,
"Write your comment here","Escriu el teu comentari ací",,
"Wrong current username or password","Nom d'usuari o contrasenya actual incorrectes",,
"Wrong username or password","Nom d'usuari o contrasenya incorrectes",,
"Year","Any",,
"Years","Anys",,
"Yes","Sí",,
"Yesterday","Ahir",,
"You are not allowed to upload a file bigger than {0} MB.","No pots pujar un fitxer més gran de {0} MB.",,
"You are not authorized to access this resource.","No tens accés a aquest recurs.",,
"Your password has been successfully changed.","La contrasenya s'ha canviat correctament.",,
"Your password reset token is invalid or expired.","El token de restabliment no és vàlid o ha caducat.",,
"[Last] dddd","[Darrer] dddd",,
"and","i",,
"close the current view tab","tanca la pestanya actual",,
"contains","conté",,
"create new record","crear nou registre",,
"delete current/selected record(s)","eliminar registre(s) actual/seleccionat(s)",,
"doesn't contain","no conté",,
"duplicate current record","duplicar registre actual",,
"edit selected record","editar registre seleccionat",,
"equals","igual a",,
"focus first or selected item in view","enfoçar primer element o seleccionat",,
"focus left menu search box","enfoçar caixa de cerca del menú",,
"greater or equal","major o igual",,
"greater than","major que",,
"in","a",,
"in range","en rang",,
"in the current","en l'actual",,
"in the next","en el proper",,
"in the past","en el passat",,
"is current group","és el grup actual",,
"is current user","és l'usuari actual",,
"is empty","és buit",,
"is false","és fals",,
"is not empty","no és buit",,
"is not null","no és nul",,
"is null","és nul",,
"is true","és cert",,
"items","elements",,
"less or equal","menor o igual",,
"less than","menor que",,
"load more","carregar més",,
"navigate to next page/record","navegar a pàgina/registre següent",,
"navigate to previous page/record","navegar a pàgina/registre anterior",,
"no messages","cap missatge",,
"no tasks","cap tasca",,
"not equal","no igual a",,
"not in","no a",,
"not in range","no en rang",,
"or","o",,
"or sign in with","o entrar amb",,
"refresh current view","actualitzar vista actual",,
"replies ({0} of {1})","respostes ({0} de {1})",,
"save current record","guardar registre actual",,
"search for records","cercar registres",,
"toggle left menu","alternar menú esquerre",,
"{0} is editing since {1}","{0} està editant des de {1}",,
"{0} is invalid","{0} no és vàlid",,
"{0} is not in proper format","{0} no té el format correcte",,
"{0} is required","{0} és obligatori",,
"{0} is too big","{0} és massa gran",,
"{0} is too small","{0} és massa petit",,
"{0} joined {1}","{0} s'ha unit a {1}",,
"{0} left {1}","{0} ha deixat {1}",,
"{0} messages","{0} missatges",,
"{0} of {1}","{0} de {1}",,
"{0} records exported.","{0} registres exportats.",,
"{0} saved {1}","{0} ha guardat {1}",,
"{0} tasks","{0} tasques",,
"{0} to {1} of {2}","{0} a {1} de {2}",,
"key","message","comment","context"
"A theme with the same name already exist. It may create conflicts. Are you sure you want to continue?","Ja existeix un tema amb el mateix nom. Això pot crear conflictes. Estàs segur que vols continuar?",,
"A views restoring is already in progress. Please wait until it ends and try again.","Ja hi ha una restauració de vistes en curs. Si us plau, espera fins que acabe i torna a intentar-ho.",,
"Access error","Error d'accés",,
"Action","Acció",,
"Action Menu","Menú d'acció",,
"Action Menus","Menús d'acció",,
"Action name can't be changed.","El nom de l'acció no es pot canviar.",,
"Actions","Accions",,
"Activate on","Activar des de",,
"Activate the user from the specified date.","Activar l'usuari des de la data especificada.",,
"Active","Actiu",,
"Address","Adreça",,
"Administration","Administració",,
"All Actions","Totes les accions",,
"All Charts","Tots els gràfics",,
"All Custom Views","Totes les vistes personalitzades",,
"All Documents","Tots els documents",,
"All Menu Help","Ajuda de tots els menús",,
"All Menus","Tots els menús",,
"All Models","Tots els models",,
"All Modules","Tots els mòduls",,
"All Schedules","Tots els planificadors",,
"All Selects","Totes les seleccions",,
"All Teams","Tots els equips",,
"All Themes","Tots els temes",,
"All Translations","Totes les traduccions",,
"All View Help","Ajuda de totes les vistes",,
"All Views","Totes les vistes",,
"All jobs have been restarted.","Totes les tasques han estat reiniciades.",,
"All the customizations will be lost. Are you sure?","Totes les personalitzacions es perdran. Estàs segur?",,
"All views have been restored (%s).","Totes les vistes han estat restaurades (%s).",,
"Allow","Permetre",,
"Allow this theme to be used by users","Permetre que els usuaris utilitzen aquest tema",,
"Always","Sempre",,
"Amber","Ambre",,
"An unique permission name.","Nom únic del permís",,
"Application","Aplicació",,
"Archived","Arxivat",,
"Assigned to","Assignat a",,
"Attached to","Adjunt a",,
"Attributes","Atributs",,
"Attrs","Atribs",,
"Author","Autor",,
"Authorization","Autorització",,
"Authorized roles","Rols autoritzats",,
"Auto","Automàtic",,
"Available for users","Disponible per a usuaris",,
"Black","Negre",,
"Block the user","Bloquejar l'usuari",,
"Block the user for an indefinite period.","Bloquejar l'usuari per un període indefinit.",,
"Blue","Blau",,
"Blue Grey","Blau gris",,
"Body","Cos",,
"Boolean","Booleà",,
"Brown","Marró",,
"Button","Botó",,
"Calendar","Calendari",,
"Can customize","Pot personalitzar",,
"Can read","Pot llegir",,
"Can share","Pot compartir",,
"Can write","Pot escriure",,
"Canceled","Cancel·lat",,
"Cannot delete a task while scheduler is running...","No es pot eliminar una tasca mentre el planificador està en execució...",,
"Cards","Targetes",,
"Category","Categoria",,
"Category name to group action menus.","Nom de la categoria per agrupar menús d'acció",,
"Change password?","Canviar contrasenya?",,
"Chart","Gràfic",,
"Client side js expression","Expressió js del costat del client",,
"Closed","Tancat",,
"Code","Codi",,
"Code length should be greater than 2.","La longitud del codi ha de ser major que 2.",,
"Collapse","Plegar",,
"Color","Color",,
"Column sequence","Seqüència de columnes",,
"Come back later. There are no messages in this folder...","Torna més tard. No hi ha missatges en aquesta carpeta...",,
"Comma separated list of params for the condition.","Llista de paràmetres separats per comes per a la condició.",,
"Comment","Comentari",,
"Computed","Calculat",,
"Concurrent updates error","Error d'actualitzacions concurrents",,
"Condition","Condició",,
"Condition params","Paràmetres de condició",,
"Condition to check","Condició a verificar",,
"Conditions","Condicions",,
"Configuration","Configuració",,
"Confirm new password","Confirmar nova contrasenya",,
"Confirm new password of the user (must be identical to the new password)","Confirmar la nova contrasenya de l'usuari (ha de ser idèntica a la nova contrasenya)",,
"Confirm password","Confirmar contrasenya",,
"Confirm password of the new user (must be identical to the password)","Confirmar la contrasenya del nou usuari (ha de ser idèntica a la contrasenya)",,
"Consumed","Consumit",,
"Content","Contingut",,
"Content type","Tipus de contingut",,
"Context field","Camp de context",,
"Context field target","Objectiu del camp de context",,
"Context field target name","Nom de l'objectiu del camp de context",,
"Context field title","Títol del camp de context",,
"Context field value","Valor del camp de context",,
"Create","Crear",,
"Created","Creat",,
"Created by","Creat per",,
"Created on","Creat el",,
"Cron","Cron",,
"Current password","Contrasenya actual",,
"Current password of the logged in user","Contrasenya actual de l'usuari connectat",,
"Current password of the user","Contrasenya actual de l'usuari",,
"Custom","Personalitzat",,
"Custom Fields","Camps personalitzats",,
"Custom Models","Models personalitzats",,
"Custom field","Camp personalitzat",,
"Custom fields","Camps personalitzats",,
"Custom model","Model personalitzat",,
"Custom models","Models personalitzats",,
"Custom-ManyToMany","Personalitzat-MoltsAMolts",,
"Custom-ManyToOne","Personalitzat-MoltsAU",,
"Custom-OneToMany","Personalitzat-AMolts",,
"Cyan","Cian",,
"Dark","Fosc",,
"Dashboard","Tauler de control",,
"Data","Dades",,
"Date","Data",,
"DateTime","Data i hora",,
"Decimal","Decimal",,
"Deep Orange","Taronja fosc",,
"Deep Purple","Porpra fosc",,
"Default","Per defecte",,
"Default home action.","Acció d'inici per defecte.",,
"Default value","Valor per defecte",,
"Define a name for the theme. <b>light</b> or <b>dark</b> can be used to override built-in themes.","Defineix un nom per al tema. <b>light</b> o <b>dark</b> poden utilitzar-se per sobreescriure temes integrats.",,
"Dependent features","Característiques dependents",,
"Dependent modules","Mòduls dependents",,
"Depends","Depèn de",,
"Depends On","Depèn de",,
"Description","Descripció",,
"Details","Detalls",,
"Directories","Directoris",,
"Directory","Directori",,
"Disable the user from the specified date.","Desactivar l'usuari des de la data especificada.",,
"Display messages","Mostrar missatges",,
"Display messages and followers","Mostrar missatges i seguidors",,
"Do not make the theme available","No fer el tema disponible",,
"Document","Document",,
"Documents","Documents",,
"Domain","Domini",,
"Domain filter as condition.","Filtre de domini com a condició.",,
"Download","Descarregar",,
"Email","Correu electrònic",,
"Encryption error","Error de xifrat",,
"Encryption key might be wrong.","La clau de xifrat podria ser incorrecta.",,
"English","Anglès",,
"Enum","Enumeració",,
"Enum type","Tipus d'enumeració",,
"Event","Esdeveniment",,
"Expire at","Caduca el",,
"Expires on","Caduca el",,
"Export","Exportar",,
"Export complete.","Exportació completada.",,
"Extension","Extensió",,
"False","Fals",,
"Favorite","Preferit",,
"Favorites","Preferits",,
"Field","Camp",,
"Field is required.","El camp és obligatori.",,
"Fields","Camps",,
"File","Arxiu",,
"File added","Arxiu afegit",,
"File name","Nom de l'arxiu",,
"File path","Ruta de l'arxiu",,
"File removed","Arxiu eliminat",,
"File type","Tipus d'arxiu",,
"Files","Arxius",,
"Filter custom","Filtre personalitzat",,
"Filter files","Filtrar arxius",,
"Filter view","Filtre de vista",,
"Filters","Filtres",,
"Flags","Banderes",,
"Force password change","Forçar canvi de contrasenya",,
"Force the user to change their password at next login.","Forçar l'usuari a canviar la contrasenya en el proper inici de sessió.",,
"Form","Formulari",,
"Form record","Registre de formulari",,
"Form records","Registres de formulari",,
"Form view","Vista de formulari",,
"Form width","Amplada del formulari",,
"French","Francès",,
"From","De",,
"Fullname","Nom complet",,
"Fully qualified object name or wild card package name.","Nom complet de l'objecte o nom de paquet amb comodí.",,
"Gantt","Gantt",,
"General","General",,
"Green","Verd",,
"Grey","Gris",,
"Grid","Graella",,
"Grid view","Vista de graella",,
"Group","Grup",,
"Group by","Agrupar per",,
"Groups","Grups",,
"Help","Ajuda",,
"Help Management","Gestió de l'ajuda",,
"Help link","Enllaç d'ajuda",,
"Hidden","Ocult",,
"Hidden menu","Menú ocult",,
"Hide if","Ocultar si",,
"High","Alt",,
"Home action","Acció d'inici",,
"Icon","Icona",,
"Icon background","Fons de la icona",,
"Import","Importar",,
"Important","Important",,
"In Progress","En progrés",,
"Inbox","Safata d'entrada",,
"Inbox is empty!","La safata d'entrada està buida!",,
"Include if","Incloure si",,
"Increment","Increment",,
"Indigo","Indi",,
"Information","Informació",,
"Initial value","Valor inicial",,
"Inline","En línia",,
"Integer","Enter",,
"Invalid XML.","XML no vàlid.",,
"Invalid cron :","Cron no vàlid:",,
"Invalid field value.","Valor de camp no vàlid.",,
"Invalid permission","Permís no vàlid",,
"Invalid use of action-record: %s, must be the last action.","Ús incorrecte de action-record: %s, ha de ser l'última acció.",,
"Inverse","Invers",,
"Is archived","Està arxivat",,
"Is directory","És un directori",,
"Is read","Està llegit",,
"Is starred","És preferit",,
"Items","Elements",,
"Job","Tasca",,
"Job Management","Gestió de tasques",,
"Job has been updated.","La tasca ha estat actualitzada.",,
"Json","Json",,
"Json model","Model Json",,
"Kanban","Kanban",,
"Key","Clau",,
"Label","Etiqueta",,
"Language","Idioma",,
"Last modified","Última modificació",,
"Last password update date","Data de l'última actualització de contrasenya",,
"Left menu","Menú esquerre",,
"Light","Clar",,
"Light Blue","Blau clar",,
"Light Green","Verd clar",,
"Lime","Llima",,
"Link","Enllaç",,
"Login","Inici de sessió",,
"Low","Baix",,
"Mail","Correu",,
"Make theme available","Fer tema disponible",,
"ManyToMany","MoltsAMolts",,
"ManyToOne","MoltsAU",,
"Mapped by","Mapetjat per",,
"Max","Màx",,
"Max size","Mida màxima",,
"Max size 4MB.","Mida màxima 4MB.",,
"Members","Membres",,
"Menu","Menú",,
"Menu Help","Ajuda de menú",,
"Menu Item","Element de menú",,
"Menu Items","Elements de menú",,
"Menu background","Fons del menú",,
"Menu icon","Icona del menú",,
"Menu order","Ordre del menú",,
"Menu parent","Menú pare",,
"Menu title","Títol del menú",,
"Menus","Menús",,
"Message","Missatge",,
"Messaging panel","Panell de missatgeria",,
"Meta file","Arxiu meta",,
"Meta model","Model meta",,
"Meta permission","Permís meta",,
"MetaScheduleParam","MetaScheduleParam",,
"Min","Mín",,
"Min size","Mida mínima",,
"Mobile menu","Menú mòbil",,
"Model","Model",,
"Model Management","Gestió de models",,
"Model field","Camp del model",,
"Models","Models",,
"Modified","Modificat",,
"Module","Mòdul",,
"Module Management","Gestió de mòduls",,
"Module to check","Mòdul a verificar",,
"Modules","Mòduls",,
"My Documents","Els meus documents",,
"My Teams","Els meus equips",,
"My open tasks","Les meves tasques obertes",,
"Name","Nom",,
"Name field","Camp de nom",,
"Name length should be greater than 2.","La longitud del nom ha de ser major que 2.",,
"Navigation","Navegació",,
"New","Nou",,
"New password","Nova contrasenya",,
"New password does not match pattern.","La nova contrasenya no coincideix amb el patró.",,
"New password must be different.","La nova contrasenya ha de ser diferent.",,
"New password of the user","Nova contrasenya de l'usuari",,
"Next value","Següent valor",,
"No archived messages!","No hi ha missatges arxivats!",,
"No help","Sense ajuda",,
"No important messages!","No hi ha missatges importants!",,
"No messages","No hi ha missatges",,
"Normal","Normal",,
"Not allowed","No permés",,
"Object","Objecte",,
"Object name","Nom de l'objecte",,
"On change","En canviar",,
"On click","En fer clic",,
"On create","En crear",,
"On new","En nou",,
"On save","En guardar",,
"On update","En actualitzar",,
"OneToMany","AMolts",,
"OneToOne","AU",,
"Only if","Només si",,
"Only use this menu-item if the given expression is true (ie `if` condition).","Utilitzar aquest element de menú només si l'expressió donada és veritable (condició `if`).",,
"Only use this menu-item if the given module is installed (ie `if-module` condition).","Utilitzar aquest element de menú només si el mòdul està instal·lat (condició `if-module`).",,
"Options","Opcions",,
"Orange","Taronja",,
"Order by","Ordenar per",,
"Overview","Resum",,
"Owner","Propietari",,
"PASSWORD_RESET_EMAIL_BODY","<p>Hola, <strong>{0}</strong>!</p><p>Hem rebut una sol·licitud per restablir la contrasenya del teu compte <strong>{1}</strong> a <a href=""{2}"" rel=""noopener noreferrer"">{2}</a>.</p><p>Si has estat tu qui ho ha sol·licitat, fes clic a l'enllaç a continuació per completar el procés. Altrament, pots ignorar aquest correu electrònic amb total seguretat.</p><p><a href=""{3}"" rel=""noopener noreferrer"">Restablir la meua contrasenya</a></p><p>Aquest enllaç és vàlid durant {4} hores. Passat aquest temps, hauràs de fer una nova sol·licitud.</p>",,
"PASSWORD_RESET_EMAIL_SUBJECT","Instruccions per restablir la teua contrasenya",,
"Package","Paquet",,
"Padding","Farcit",,
"Panel","Panell",,
"Panel mail display","Visualització del panell de correu",,
"Params","Paràmetres",,
"Parent","Pare",,
"Parent menu","Menú pare",,
"Password","Contrasenya",,
"Password doesn't match configured pattern.","La contrasenya no coincideix amb el patró configurat.",,
"Password of the new user","Contrasenya del nou usuari",,
"Permission","Permís",,
"Permissions","Permisos",,
"Permissions (fields)","Permisos (camps)",,
"Personal","Personal",,
"Personalized View","Vista personalitzada",,
"Personalized Views","Vistes personalitzades",,
"Photo","Foto",,
"Pink","Rosa",,
"Placeholder","Marcador de posició",,
"Please refresh your browser to see updated views.","Si us plau, actualitza el teu navegador per veure les vistes actualitzades.",,
"Precision","Precisió",,
"Preferences","Preferències",,
"Prefix","Prefix",,
"Priority","Prioritat",,
"Purple","Porpra",,
"Read","Lectura",,
"Readonly","Només lectura",,
"Readonly if","Només lectura si",,
"Recipients","Destinataris",,
"Record created","Registre creat",,
"Record updated","Registre actualitzat",,
"Record was updated or deleted by another transaction.","El registre ha estat actualitzat o eliminat per una altra transacció.",,
"Red","Vermell",,
"Reference error","Error de referència",,
